 6.23000000e+02 7.00000000e+01
 5.04000000e+02 5.40000000e+01
 7.45000000e+02 8.30000000e+01
 3.46000000e+02 4.80000000e+01
 6.72000000e+02 7.80000000e+01
 2.39000000e+02 2.60000000e+01
 6.56000000e+02 5.40000000e+01
 5.43000000e+02 7.60000000e+01
 2.94000000e+02 3.90000000e+01
 5.92000000e+02 6.20000000e+01
 2.89000000e+02 3.60000000e+01
 4.05000000e+02 4.80000000e+01
 6.48000000e+02 6.00000000e+01
 4.48000000e+02 4.90000000e+01
 5.03000000e+02 5.30000000e+01
 3.02000000e+02 3.30000000e+01
 4.62000000e+02 5.10000000e+01
 4.32000000e+02 4.40000000e+01
 3.16000000e+02 3.30000000e+01
 5.72000000e+02 5.40000000e+01
